1,2,3,4,5,6,7,8,9
1,00128U,61015N,24298.84659,0.00000514,00000-0,37668-3,0,9993
2,128,66.6746,240.9479,92563,6.0465,354.1711,14.01729414,
1,130U,61015Q,24299.73109,0.000004,00000-0,31973-3,0,9995
2,130,66.77,298.2219,86839,346.0672,13.8015,13.9916332,
1,00131U,61015R,24298.86329,0.00000405,00000-0,31246-3,0,9995
2,131,66.734,160.0515,75699,131.6545,229.1053,14.01396386,
1,133U,61015T,24299.49828,0.00002926,00000-0,13556-2,0,9999
2,133,67.1153,302.5434,59107,257.1093,102.3397,14.21190514,
1,00134U,61015U,24298.82763,0.00000486,00000-0,38820-3,0,9993
2,134,66.8794,84.6372,88181,264.8574,94.244,13.97418225,
1,00136U,61015W,24298.65925,0.00006447,00000-0,20850-2,0,9993
2,136,67.5323,25.4559,54664,226.3845,133.2723,14.38722615,
1,00138U,61015Y,24298.74468,0.00001351,00000-0,90264-3,0,9990
2,138,67.153,139.4387,36496,233.8126,125.9585,14.03628332,
1,138U,61015Y,24299.88476,0.00001317,00000-0,88106-3,0,9992
2,138,67.153,136.6362,36432,233.0324,126.7427,14.03631197,
1,00141U,61015AB,24298.77968,0.00001057,00000-0,93857-3,0,9990
2,141,66.5887,77.4237,48139,79.8821,280.768,13.88258286,
1,141U,61015AB,24299.78827,0.00001099,00000-0,97312-3,0,9990
2,141,66.5889,74.9508,48112,79.097,281.5514,13.882608,
1,00144U,61015AE,24298.77475,0.00000716,00000-0,62754-3,0,9990
2,144,66.4998,73.4746,39121,13.9116,346.3028,13.91116605,
1,144U,61015AE,24299.78126,0.00000744,00000-0,64997-3,0,9995
2,144,66.4999,70.9858,39197,13.1862,347.0229,13.91118375,
1,00145U,61015AF,24298.76299,0.00000908,00000-0,62920-3,0,9998
2,145,66.9267,71.2657,60214,13.8977,346.3749,14.02592154,
1,145U,61015AF,24299.54737,0.00000885,00000-0,61447-3,0,9996
2,145,66.9269,69.3228,60294,13.3257,346.9403,14.02593333,
1,00147U,61015AH,24298.82132,0.00003413,00000-0,15508-2,0,9996
2,147,66.617,119.6304,50082,144.4852,215.9593,14.2230643,
1,148U,61015AJ,24299.6125,0.00004397,00000-0,23191-2,0,9991
2,148,65.7732,249.3226,156105,268.7696,89.5497,14.08790289,
1,00152U,61015AN,24298.7016,0.00001991,00000-0,10310-2,0,9991
2,152,66.5954,49.5053,158575,245.7566,112.6884,14.10652228,
